date,open,high,low,close,volume
2026-03-07 16:50:00,67791.01,67806.72,67774.62,67774.62,2.63057
2026-03-07 16:51:00,67774.62,67778.9,67761.84,67768.83,4.24954
2026-03-07 16:52:00,67768.83,67799.17,67768.82,67799.17,1.30916
2026-03-07 16:53:00,67799.17,67805.92,67797.95,67801.05,1.85709
2026-03-07 16:54:00,67801.06,67810.0,67794.4,67794.4,1.23188
2026-03-07 16:55:00,67794.4,67819.0,67794.4,67807.46,3.63627
2026-03-07 16:56:00,67807.45,67807.46,67796.76,67796.76,0.92552
2026-03-07 16:57:00,67796.76,67796.77,67779.25,67779.26,1.79575
2026-03-07 16:58:00,67779.25,67832.71,67779.25,67821.71,3.1515
2026-03-07 16:59:00,67821.71,67832.96,67776.17,67783.63,28.01635
2026-03-07 17:00:00,67783.63,67801.2,67783.62,67788.85,2.02921
2026-03-07 17:01:00,67788.84,67860.0,67788.84,67842.61,3.47569
2026-03-07 17:02:00,67842.61,67853.13,67838.64,67842.75,2.00451
2026-03-07 17:03:00,67842.75,67852.1,67831.73,67845.5,1.18328
2026-03-07 17:04:00,67845.49,67845.5,67843.78,67845.49,3.42117
2026-03-07 17:05:00,67845.49,67845.49,67822.07,67828.06,2.28333
2026-03-07 17:06:00,67828.07,67828.07,67812.45,67812.45,1.48078
2026-03-07 17:07:00,67812.45,67820.15,67802.8,67812.75,7.74122
2026-03-07 17:08:00,67812.75,67826.47,67805.96,67817.55,2.91017
2026-03-07 17:09:00,67817.54,67845.49,67812.45,67845.48,1.5544
2026-03-07 17:10:00,67845.48,67845.48,67824.76,67840.88,2.91647
2026-03-07 17:11:00,67840.87,67840.88,67813.82,67813.82,2.50184
2026-03-07 17:12:00,67813.82,67819.94,67813.82,67814.38,1.01764
2026-03-07 17:13:00,67814.38,67836.29,67814.37,67836.29,0.87242
2026-03-07 17:14:00,67836.29,67842.19,67836.28,67838.59,2.48912
2026-03-07 17:15:00,67838.58,67859.75,67829.33,67838.59,5.99572
2026-03-07 17:16:00,67838.59,67843.82,67838.58,67843.82,0.86691
2026-03-07 17:17:00,67843.81,67843.81,67820.7,67826.78,5.82384
2026-03-07 17:18:00,67826.78,67826.78,67814.35,67814.35,1.22206
2026-03-07 17:19:00,67814.35,67825.55,67814.35,67825.55,0.60088
2026-03-07 17:20:00,67825.55,67867.38,67825.54,67867.38,1.24957
2026-03-07 17:21:00,67867.38,67900.42,67867.37,67893.01,4.40842
2026-03-07 17:22:00,67893.01,67914.61,67885.99,67914.61,2.53951
2026-03-07 17:23:00,67914.6,67935.01,67908.39,67921.64,9.19614
2026-03-07 17:24:00,67921.63,67921.63,67895.18,67901.97,2.81704
2026-03-07 17:25:00,67901.97,67901.97,67894.91,67899.08,1.22731
2026-03-07 17:26:00,67899.08,67904.15,67891.69,67892.86,2.44285
2026-03-07 17:27:00,67892.86,67892.86,67886.23,67886.23,2.6428
2026-03-07 17:28:00,67886.23,67886.24,67876.69,67876.69,1.35454
2026-03-07 17:29:00,67876.69,67882.84,67872.95,67882.83,4.29416
2026-03-07 17:30:00,67882.83,67882.84,67876.7,67876.7,1.35089
2026-03-07 17:31:00,67876.71,67876.71,67876.51,67876.51,0.76983
2026-03-07 17:32:00,67876.51,67876.52,67876.51,67876.51,0.5545
2026-03-07 17:33:00,67876.52,67876.52,67872.0,67872.01,1.22273
2026-03-07 17:34:00,67872.0,67872.01,67872.0,67872.01,0.55024
2026-03-07 17:35:00,67872.01,67872.01,67872.0,67872.0,0.5586
2026-03-07 17:36:00,67872.01,67872.01,67872.0,67872.01,1.11762
2026-03-07 17:37:00,67872.0,67872.01,67872.0,67872.0,1.66947
2026-03-07 17:38:00,67872.0,67872.0,67861.48,67864.9,7.61036
2026-03-07 17:39:00,67864.89,67882.83,67864.89,67882.83,30.36439
2026-03-07 17:40:00,67882.82,67882.84,67873.44,67873.44,5.23556
2026-03-07 17:41:00,67873.44,67878.84,67865.63,67878.84,1.76543
2026-03-07 17:42:00,67878.83,67878.84,67878.83,67878.84,1.21553
2026-03-07 17:43:00,67878.83,67882.84,67878.83,67882.84,1.78992
2026-03-07 17:44:00,67882.84,67882.84,67882.83,67882.83,0.62294
2026-03-07 17:45:00,67882.83,67882.84,67877.13,67877.13,1.83361
2026-03-07 17:46:00,67877.13,67877.14,67877.13,67877.14,0.56904
2026-03-07 17:47:00,67877.14,67877.14,67877.13,67877.14,0.67449
2026-03-07 17:48:00,67877.14,67877.14,67870.03,67870.04,1.01459
2026-03-07 17:49:00,67870.03,67888.24,67870.03,67888.24,18.23592
2026-03-07 17:50:00,67888.24,67888.25,67872.96,67872.97,2.77801
2026-03-07 17:51:00,67872.97,67872.97,67866.55,67866.56,0.78396
2026-03-07 17:52:00,67866.56,67866.56,67866.55,67866.55,1.12027
2026-03-07 17:53:00,67866.55,67866.56,67862.1,67862.1,1.90264
2026-03-07 17:54:00,67862.1,67888.24,67862.1,67888.23,28.8631
2026-03-07 17:55:00,67888.23,67888.24,67872.13,67872.14,3.61375
2026-03-07 17:56:00,67872.14,67872.14,67862.62,67862.62,1.85881
2026-03-07 17:57:00,67862.63,67866.41,67790.0,67808.63,7.50759
2026-03-07 17:58:00,67808.62,67808.62,67768.97,67777.11,3.19013
2026-03-07 17:59:00,67777.11,67789.02,67770.0,67788.41,2.77412
2026-03-07 18:00:00,67788.4,67788.41,67735.43,67735.43,5.85792
2026-03-07 18:01:00,67735.3,67745.29,67710.3,67729.12,3.6851
2026-03-07 18:02:00,67729.11,67735.27,67480.0,67527.75,93.41766
2026-03-07 18:03:00,67527.76,67600.0,67527.76,67590.53,12.60518
2026-03-07 18:04:00,67590.52,67607.25,67590.52,67606.99,16.64492
2026-03-07 18:05:00,67606.99,67613.46,67584.39,67610.39,5.62088
2026-03-07 18:06:00,67610.39,67619.86,67590.49,67590.5,9.8159
2026-03-07 18:07:00,67590.49,67644.26,67590.49,67626.89,6.53448
2026-03-07 18:08:00,67626.89,67626.9,67582.7,67599.45,5.44794
2026-03-07 18:09:00,67599.45,67624.99,67597.1,67619.03,3.77902
2026-03-07 18:10:00,67619.03,67644.26,67619.02,67640.94,5.32811
2026-03-07 18:11:00,67640.93,67640.93,67619.33,67633.48,2.48457
2026-03-07 18:12:00,67633.48,67633.49,67608.14,67628.38,4.97858
2026-03-07 18:13:00,67628.38,67628.38,67609.39,67614.31,3.51915
2026-03-07 18:14:00,67614.31,67635.22,67614.31,67624.7,0.91308
2026-03-07 18:15:00,67624.7,67644.26,67621.84,67644.26,2.76586
2026-03-07 18:16:00,67644.25,67661.59,67644.25,67661.57,4.93648
2026-03-07 18:17:00,67661.58,67690.67,67661.57,67681.94,3.37048
2026-03-07 18:18:00,67681.93,67696.0,67659.64,67659.64,2.71434
2026-03-07 18:19:00,67659.64,67670.0,67608.34,67608.34,33.79237
2026-03-07 18:20:00,67608.15,67625.0,67584.41,67612.77,23.25596
2026-03-07 18:21:00,67612.77,67621.84,67590.77,67610.85,29.85794
2026-03-07 18:22:00,67610.85,67656.46,67603.37,67655.93,31.12955
2026-03-07 18:23:00,67655.93,67678.0,67652.97,67661.61,27.36285
2026-03-07 18:24:00,67661.6,67661.61,67644.7,67644.71,29.18432
2026-03-07 18:25:00,67644.7,67656.51,67626.11,67636.15,33.50976
2026-03-07 18:26:00,67635.26,67635.27,67601.98,67621.35,32.95325
2026-03-07 18:27:00,67621.35,67624.41,67593.42,67611.66,31.11696
2026-03-07 18:28:00,67611.66,67615.51,67595.19,67595.2,28.38948
2026-03-07 18:29:00,67595.2,67662.01,67578.05,67662.0,99.38724
2026-03-07 18:30:00,67662.0,67662.01,67605.37,67605.38,38.41053
2026-03-07 18:31:00,67605.37,67605.37,67574.47,67590.31,30.95556
2026-03-07 18:32:00,67590.31,67608.24,67590.31,67594.53,30.95808
2026-03-07 18:33:00,67594.54,67594.54,67528.15,67532.08,43.23255
2026-03-07 18:34:00,67532.08,67532.08,67489.97,67521.74,47.40209
2026-03-07 18:35:00,67521.73,67550.15,67512.0,67512.0,33.05692
2026-03-07 18:36:00,67511.98,67528.93,67492.0,67517.96,33.73571
2026-03-07 18:37:00,67517.97,67544.0,67514.06,67524.01,33.30931
2026-03-07 18:38:00,67524.0,67524.01,67500.03,67513.97,31.93619
2026-03-07 18:39:00,67513.98,67577.76,67513.98,67577.75,5.92426
2026-03-07 18:40:00,67577.75,67583.34,67567.59,67579.67,4.47745
2026-03-07 18:41:00,67579.66,67607.92,67579.66,67606.56,3.76022
2026-03-07 18:42:00,67606.57,67606.57,67593.98,67603.53,1.77715
2026-03-07 18:43:00,67603.53,67605.5,67602.49,67602.49,1.28193
2026-03-07 18:44:00,67602.49,67666.04,67602.49,67663.0,15.11549
2026-03-07 18:45:00,67663.01,67663.01,67636.59,67640.73,4.95731
2026-03-07 18:46:00,67640.72,67640.72,67614.22,67614.22,2.13928
2026-03-07 18:47:00,67614.23,67626.17,67614.22,67618.06,1.59632
2026-03-07 18:48:00,67618.07,67624.36,67616.94,67624.35,0.5864
2026-03-07 18:49:00,67624.35,67672.29,67624.35,67671.0,170.71096
2026-03-07 18:50:00,67671.0,67671.01,67596.0,67601.98,25.57402
2026-03-07 18:51:00,67601.98,67601.99,67557.79,67564.51,4.71393
2026-03-07 18:52:00,67564.51,67575.08,67564.5,67575.07,4.33767
2026-03-07 18:53:00,67575.08,67591.28,67575.07,67591.28,1.43473
2026-03-07 18:54:00,67591.27,67605.2,67591.27,67593.29,1.02746
2026-03-07 18:55:00,67593.29,67593.29,67581.55,67586.73,4.30204
2026-03-07 18:56:00,67586.73,67598.3,67586.72,67596.6,1.87811
2026-03-07 18:57:00,67596.61,67596.61,67567.79,67590.17,3.46928
2026-03-07 18:58:00,67590.17,67593.24,67590.17,67593.24,0.56524
2026-03-07 18:59:00,67593.24,67593.24,67568.12,67568.13,3.2623
2026-03-07 19:00:00,67568.13,67568.13,67547.32,67548.87,2.46745
2026-03-07 19:01:00,67548.86,67559.56,67528.55,67559.56,3.48676
2026-03-07 19:02:00,67559.55,67559.56,67529.32,67549.19,4.37539
2026-03-07 19:03:00,67549.19,67550.69,67530.52,67535.07,4.31469
2026-03-07 19:04:00,67535.07,67536.93,67518.4,67523.61,5.02208
2026-03-07 19:05:00,67523.61,67542.19,67523.61,67535.07,5.50515
2026-03-07 19:06:00,67535.07,67535.07,67529.36,67534.09,2.38896
2026-03-07 19:07:00,67534.1,67534.1,67521.01,67532.59,1.05685
2026-03-07 19:08:00,67532.59,67568.9,67531.11,67568.9,3.22578
2026-03-07 19:09:00,67568.89,67572.35,67506.57,67506.57,60.859
2026-03-07 19:10:00,67506.19,67544.28,67500.31,67544.27,4.72747
2026-03-07 19:11:00,67544.27,67551.79,67544.27,67551.67,0.60152
2026-03-07 19:12:00,67551.67,67555.0,67551.66,67554.99,1.20405
2026-03-07 19:13:00,67555.0,67561.66,67548.38,67548.39,2.47174
2026-03-07 19:14:00,67548.38,67548.98,67500.0,67500.01,40.8212
2026-03-07 19:15:00,67500.0,67541.69,67494.47,67541.68,9.32419
2026-03-07 19:16:00,67541.68,67558.0,67538.1,67538.1,2.06113
2026-03-07 19:17:00,67538.1,67538.11,67538.1,67538.11,0.68425
2026-03-07 19:18:00,67538.11,67538.11,67482.01,67482.01,5.23637
2026-03-07 19:19:00,67482.0,67482.01,67270.62,67364.19,149.07468
2026-03-07 19:20:00,67364.19,67455.0,67364.19,67454.99,12.36168
2026-03-07 19:21:00,67454.99,67477.97,67427.62,67465.08,5.72848
2026-03-07 19:22:00,67465.08,67480.72,67457.97,67457.98,3.74848
2026-03-07 19:23:00,67457.97,67457.97,67399.15,67421.15,4.86753
2026-03-07 19:24:00,67421.15,67428.85,67309.53,67316.28,13.10516
2026-03-07 19:25:00,67316.28,67391.8,67316.28,67377.59,6.53965
2026-03-07 19:26:00,67377.58,67377.59,67315.31,67315.32,4.16812
2026-03-07 19:27:00,67315.32,67334.28,67202.66,67247.2,36.65452
2026-03-07 19:28:00,67247.2,67257.98,67177.0,67238.92,56.634
2026-03-07 19:29:00,67238.91,67238.92,67199.56,67227.72,5.70026
2026-03-07 19:30:00,67227.71,67261.7,67227.71,67241.8,8.11248
2026-03-07 19:31:00,67241.79,67281.35,67241.79,67244.03,9.21664
2026-03-07 19:32:00,67244.03,67267.37,67195.4,67267.37,4.96338
2026-03-07 19:33:00,67267.37,67307.97,67254.16,67295.84,7.47034
2026-03-07 19:34:00,67295.84,67347.15,67210.83,67212.0,178.97329
2026-03-07 19:35:00,67212.0,67308.75,67211.99,67284.59,7.0374
2026-03-07 19:36:00,67284.59,67301.4,67284.58,67301.4,1.59761
2026-03-07 19:37:00,67301.39,67332.0,67301.39,67317.48,4.65999
2026-03-07 19:38:00,67317.47,67317.48,67301.68,67301.68,3.20526
2026-03-07 19:39:00,67301.69,67302.54,67283.41,67290.36,6.71487
2026-03-07 19:40:00,67290.37,67332.0,67283.41,67332.0,2.61617
2026-03-07 19:41:00,67332.0,67332.0,67238.35,67248.42,18.53619
2026-03-07 19:42:00,67248.42,67283.27,67248.41,67283.27,3.81442
2026-03-07 19:43:00,67283.26,67300.0,67283.26,67300.0,2.96631
2026-03-07 19:44:00,67299.99,67300.0,67204.48,67211.99,132.07849
2026-03-07 19:45:00,67211.99,67275.75,67206.74,67256.45,14.37686
2026-03-07 19:46:00,67256.45,67263.42,67243.08,67245.0,3.54818
2026-03-07 19:47:00,67245.0,67270.17,67245.0,67257.17,4.77293
2026-03-07 19:48:00,67257.17,67257.17,67216.27,67216.28,6.57728
2026-03-07 19:49:00,67216.27,67220.0,67170.44,67177.0,19.71853
2026-03-07 19:50:00,67177.0,67181.63,66984.44,67000.85,176.86425
2026-03-07 19:51:00,67000.84,67101.51,66984.48,67064.75,67.06504
2026-03-07 19:52:00,67064.76,67110.61,67031.04,67031.11,17.25474
2026-03-07 19:53:00,67031.12,67085.39,66993.3,66993.31,13.34967
2026-03-07 19:54:00,66993.3,67042.32,66993.3,67030.37,38.83817
2026-03-07 19:55:00,67030.37,67058.88,66915.26,67010.44,58.42956
2026-03-07 19:56:00,67010.44,67044.0,67010.44,67044.0,9.71436
2026-03-07 19:57:00,67044.93,67113.64,67044.93,67107.42,6.98564
2026-03-07 19:58:00,67107.42,67139.04,67079.4,67088.33,21.54553
2026-03-07 19:59:00,67088.33,67099.7,67073.57,67080.34,2.81003
2026-03-07 20:00:00,67080.33,67141.89,67068.01,67117.81,10.19463
2026-03-07 20:01:00,67117.82,67130.82,67102.23,67130.82,2.56727
2026-03-07 20:02:00,67130.82,67152.63,67112.21,67151.68,4.83308
2026-03-07 20:03:00,67151.67,67190.0,67151.67,67186.58,5.11505
2026-03-07 20:04:00,67186.58,67199.54,67176.0,67185.41,4.09835
2026-03-07 20:05:00,67185.4,67221.32,67182.36,67205.05,7.72676
2026-03-07 20:06:00,67205.05,67233.37,67198.32,67233.37,2.59985
2026-03-07 20:07:00,67233.36,67258.07,67233.36,67250.01,7.20819
2026-03-07 20:08:00,67250.0,67259.49,67226.76,67245.29,25.96601
2026-03-07 20:09:00,67245.28,67245.29,67186.71,67186.71,35.14962
2026-03-07 20:10:00,67186.7,67259.48,67181.23,67259.48,21.46512
2026-03-07 20:11:00,67259.48,67292.23,67253.45,67272.02,6.26294
2026-03-07 20:12:00,67272.03,67282.3,67272.03,67280.77,2.22623
2026-03-07 20:13:00,67280.76,67280.77,67258.56,67259.38,4.06023
2026-03-07 20:14:00,67259.38,67262.84,67242.67,67242.67,1.54283
2026-03-07 20:15:00,67242.68,67256.86,67221.58,67225.72,3.00179
2026-03-07 20:16:00,67225.72,67249.33,67205.76,67249.33,2.66654
2026-03-07 20:17:00,67249.33,67290.71,67249.33,67284.66,3.40304
2026-03-07 20:18:00,67284.66,67288.29,67251.78,67262.76,11.06447
2026-03-07 20:19:00,67262.76,67274.79,67252.25,67252.26,2.88223
2026-03-07 20:20:00,67252.26,67252.26,67192.58,67205.87,2.22417
2026-03-07 20:21:00,67205.87,67250.76,67205.86,67250.76,2.05341
2026-03-07 20:22:00,67250.76,67251.72,67204.35,67209.07,11.50089
2026-03-07 20:23:00,67209.06,67245.1,67209.06,67243.07,2.49249
2026-03-07 20:24:00,67243.07,67276.89,67233.06,67276.88,11.44935
2026-03-07 20:25:00,67276.88,67276.88,67248.56,67268.51,2.55145
2026-03-07 20:26:00,67268.51,67270.31,67262.09,67270.31,0.95225
2026-03-07 20:27:00,67270.3,67281.65,67270.3,67281.65,1.35699
2026-03-07 20:28:00,67281.65,67299.76,67281.65,67299.76,2.15101
2026-03-07 20:29:00,67299.75,67305.39,67249.76,67250.47,6.11557
2026-03-07 20:30:00,67250.48,67280.54,67250.48,67280.53,1.86472
2026-03-07 20:31:00,67280.53,67280.53,67253.8,67261.1,2.1926
2026-03-07 20:32:00,67261.1,67270.56,67261.09,67261.1,6.04181
2026-03-07 20:33:00,67261.1,67280.54,67261.09,67272.61,25.85915
2026-03-07 20:34:00,67272.6,67304.0,67272.6,67272.66,2.41879
2026-03-07 20:35:00,67272.66,67319.56,67272.65,67313.41,21.6473
2026-03-07 20:36:00,67313.41,67313.41,67296.74,67310.23,5.77124
2026-03-07 20:37:00,67310.23,67359.55,67310.23,67327.04,13.2177
2026-03-07 20:38:00,67327.03,67403.85,67327.03,67403.85,10.82177
2026-03-07 20:39:00,67403.85,67403.85,67379.27,67380.16,3.80087
2026-03-07 20:40:00,67380.15,67412.19,67380.15,67397.54,4.4982
2026-03-07 20:41:00,67397.54,67403.28,67395.55,67403.27,1.26725
2026-03-07 20:42:00,67403.27,67418.47,67387.83,67418.47,3.7933
2026-03-07 20:43:00,67418.46,67419.35,67389.82,67392.34,1.52463
2026-03-07 20:44:00,67392.34,67408.7,67392.33,67395.55,1.04707
2026-03-07 20:45:00,67395.56,67419.35,67395.55,67416.69,1.6525
2026-03-07 20:46:00,67416.69,67416.69,67406.02,67406.02,2.31412
2026-03-07 20:47:00,67406.03,67418.04,67389.83,67389.83,2.93384
2026-03-07 20:48:00,67389.83,67389.83,67378.45,67388.54,1.6911
2026-03-07 20:49:00,67388.54,67405.77,67374.46,67405.0,179.13242
2026-03-07 20:50:00,67405.0,67405.0,67313.41,67348.04,28.82555
2026-03-07 20:51:00,67348.04,67372.47,67348.03,67370.51,4.01398
2026-03-07 20:52:00,67370.51,67381.92,67365.28,67381.66,1.87774
2026-03-07 20:53:00,67381.66,67396.41,67370.51,67387.9,3.73447
2026-03-07 20:54:00,67387.71,67424.5,67377.63,67424.49,11.69012
2026-03-07 20:55:00,67424.49,67437.5,67384.88,67405.38,11.88502
2026-03-07 20:56:00,67405.38,67408.61,67398.15,67407.01,0.90744
2026-03-07 20:57:00,67407.01,67423.26,67394.4,67394.41,2.03483
2026-03-07 20:58:00,67394.4,67415.25,67394.4,67403.84,3.10561
2026-03-07 20:59:00,67403.85,67403.85,67384.88,67402.98,22.02423
2026-03-07 21:00:00,67402.98,67444.0,67377.57,67436.6,29.23708
2026-03-07 21:01:00,67436.59,67443.17,67395.99,67396.0,4.48608
2026-03-07 21:02:00,67395.99,67395.99,67345.17,67359.78,7.31753
2026-03-07 21:03:00,67359.78,67375.03,67359.78,67370.0,3.65364
2026-03-07 21:04:00,67370.0,67421.71,67369.99,67421.71,5.04232
2026-03-07 21:05:00,67421.72,67421.72,67395.03,67408.22,5.15233
2026-03-07 21:06:00,67408.22,67440.31,67402.78,67424.92,2.1188
2026-03-07 21:07:00,67424.92,67424.92,67401.09,67408.53,1.47268
2026-03-07 21:08:00,67408.53,67423.97,67401.09,67422.54,3.85797
2026-03-07 21:09:00,67422.53,67444.93,67418.55,67444.93,7.64506
2026-03-07 21:10:00,67444.93,67444.93,67430.36,67444.55,2.11181
2026-03-07 21:11:00,67444.54,67467.61,67443.94,67449.0,8.58617
2026-03-07 21:12:00,67448.99,67467.6,67443.91,67467.59,1.24191
2026-03-07 21:13:00,67467.59,67483.05,67443.91,67449.93,3.66801
2026-03-07 21:14:00,67449.92,67449.92,67396.63,67402.02,31.15451
2026-03-07 21:15:00,67402.02,67441.48,67402.02,67430.77,3.68464
2026-03-07 21:16:00,67430.44,67451.48,67424.56,67451.48,2.52297
2026-03-07 21:17:00,67451.48,67463.44,67441.19,67463.43,1.59936
2026-03-07 21:18:00,67463.43,67472.89,67463.43,67472.89,1.0846
2026-03-07 21:19:00,67472.88,67472.89,67391.87,67391.89,133.66668
2026-03-07 21:20:00,67391.88,67446.8,67390.01,67425.66,2.774
2026-03-07 21:21:00,67425.65,67445.12,67425.65,67445.11,2.86605
2026-03-07 21:22:00,67445.12,67445.12,67430.93,67445.12,0.86585
2026-03-07 21:23:00,67445.12,67445.12,67425.83,67436.59,2.04112
2026-03-07 21:24:00,67436.59,67448.54,67436.58,67448.54,0.98232
2026-03-07 21:25:00,67448.54,67467.2,67447.22,67467.19,10.20195
2026-03-07 21:26:00,67467.2,67472.88,67467.19,67472.88,1.28204
2026-03-07 21:27:00,67472.88,67472.88,67472.87,67472.88,0.74695
2026-03-07 21:28:00,67472.87,67472.88,67472.87,67472.88,0.84085
2026-03-07 21:29:00,67472.88,67472.88,67448.55,67448.56,13.22533
2026-03-07 21:30:00,67448.56,67448.56,67444.79,67444.79,1.43351
2026-03-07 21:31:00,67444.79,67444.8,67368.3,67372.18,7.78462
2026-03-07 21:32:00,67372.18,67388.43,67372.17,67388.43,2.68452
2026-03-07 21:33:00,67388.43,67414.18,67388.42,67413.27,1.05865
2026-03-07 21:34:00,67413.26,67460.89,67410.03,67421.77,42.88969
2026-03-07 21:35:00,67421.78,67421.78,67309.95,67321.37,9.88898
2026-03-07 21:36:00,67321.37,67335.07,67306.45,67306.46,3.08652
2026-03-07 21:37:00,67306.46,67314.46,67281.34,67293.36,6.55391
2026-03-07 21:38:00,67293.36,67306.35,67286.62,67297.7,2.53478
2026-03-07 21:39:00,67297.7,67350.67,67297.69,67329.22,15.81803
2026-03-07 21:40:00,67329.22,67343.96,67329.21,67337.42,0.73934
2026-03-07 21:41:00,67337.42,67337.42,67312.16,67323.55,2.21094
2026-03-07 21:42:00,67323.55,67345.25,67323.55,67341.82,1.10198
2026-03-07 21:43:00,67341.81,67355.84,67341.81,67355.84,1.25672
2026-03-07 21:44:00,67355.83,67370.0,67355.83,67369.99,2.52377
2026-03-07 21:45:00,67369.99,67370.0,67335.03,67348.2,4.74978
2026-03-07 21:46:00,67348.2,67348.21,67325.04,67325.04,2.12475
2026-03-07 21:47:00,67325.05,67325.05,67300.2,67302.11,2.16825
2026-03-07 21:48:00,67302.1,67339.6,67291.62,67339.58,15.66281
2026-03-07 21:49:00,67339.58,67386.53,67334.81,67373.74,184.98424
2026-03-07 21:50:00,67373.74,67373.75,67318.14,67347.22,8.1521
2026-03-07 21:51:00,67347.22,67347.23,67337.01,67339.76,1.60197
2026-03-07 21:52:00,67339.76,67364.29,67339.76,67356.5,1.81324
2026-03-07 21:53:00,67356.5,67357.61,67356.49,67357.61,1.00232
2026-03-07 21:54:00,67357.61,67380.9,67357.6,67380.89,2.3113
2026-03-07 21:55:00,67380.89,67389.76,67366.14,67366.15,3.16926
2026-03-07 21:56:00,67366.14,67386.72,67366.14,67386.72,3.09136
2026-03-07 21:57:00,67386.72,67444.42,67386.71,67444.42,2.72269
2026-03-07 21:58:00,67444.41,67446.96,67430.25,67439.45,7.47697
2026-03-07 21:59:00,67439.45,67452.98,67439.44,67452.98,1.27234
2026-03-07 22:00:00,67452.97,67457.09,67422.18,67430.31,5.18633
2026-03-07 22:01:00,67430.3,67447.21,67430.3,67447.2,1.14878
2026-03-07 22:02:00,67447.21,67454.28,67430.31,67442.84,4.11194
2026-03-07 22:03:00,67442.83,67442.83,67432.98,67432.99,1.33823
2026-03-07 22:04:00,67432.98,67436.62,67421.95,67428.9,1.29411
2026-03-07 22:05:00,67428.9,67469.87,67428.89,67469.87,0.97636
2026-03-07 22:06:00,67469.86,67469.87,67442.21,67450.0,3.95184
2026-03-07 22:07:00,67450.0,67450.01,67435.67,67436.13,2.78556
2026-03-07 22:08:00,67436.13,67452.53,67436.13,67452.52,5.36884
2026-03-07 22:09:00,67452.53,67453.73,67382.25,67389.64,14.78015
2026-03-07 22:10:00,67389.64,67406.34,67389.64,67406.34,1.04975
2026-03-07 22:11:00,67406.33,67406.33,67367.5,67394.05,7.41557
2026-03-07 22:12:00,67394.05,67417.42,67394.05,67417.42,5.80403
2026-03-07 22:13:00,67417.42,67417.42,67381.18,67384.0,6.04005
2026-03-07 22:14:00,67384.0,67384.0,67322.44,67332.35,3.77893
2026-03-07 22:15:00,67332.34,67340.62,67324.89,67340.61,3.82596
2026-03-07 22:16:00,67340.61,67345.25,67340.61,67345.24,1.6396
2026-03-07 22:17:00,67345.25,67369.4,67345.24,67369.39,2.00935
2026-03-07 22:18:00,67369.39,67372.5,67350.0,67352.26,1.68143
2026-03-07 22:19:00,67352.26,67365.9,67323.73,67362.43,19.54372
2026-03-07 22:20:00,67362.43,67362.43,67329.93,67343.34,7.2371
2026-03-07 22:21:00,67343.35,67343.35,67300.0,67300.01,2.12187
2026-03-07 22:22:00,67300.0,67305.55,67281.81,67305.54,3.19275
2026-03-07 22:23:00,67305.55,67306.93,67305.55,67306.92,1.24849
